515 3
588728.694369 2327671.633000 6.669984
588817.452168 2328213.254330 0.616604
589844.170183 2329334.272070 13.289620
589714.297035 2329003.659890 12.302156
589018.572101 2328595.354770 1.898168
589371.936991 2328802.736590 -0.588584
590486.968578 2330411.176010 13.743711
590302.692530 2329968.420930 7.081960
589808.466807 2329718.456710 -6.450162
587858.625921 2327368.223460 12.884074
588184.103392 2327655.072620 10.802764
588503.545787 2327936.602980 5.927890
588584.336707 2328477.808480 6.518714
589412.327608 2329298.198560 8.921095
588812.863126 2328830.857900 0.007143
589024.035357 2329152.822620 -0.727601
590136.173289 2330277.465620 13.217667
589769.703047 2330135.572960 13.388210
589453.905647 2329808.226350 -2.633070
587510.179158 2327710.113340 13.329068
587901.863188 2327939.983750 5.860168
588131.101129 2328349.313640 4.584568
588351.221245 2328742.362630 7.281923
589167.455341 2329613.853930 9.353613
588665.788795 2329229.505800 -1.811867
587160.865731 2328058.104100 12.930362
589315.528979 2330235.787540 13.002462
588913.900582 2329940.701630 9.790306
587612.050918 2328225.181520 11.307777
587992.453976 2328997.055150 9.980508
587876.890402 2328651.434950 3.212140
588110.643815 2329350.529820 8.428612
588512.272198 2329645.615710 -2.444867
586905.758680 2328465.272130 12.602727
588970.141198 2330581.686160 13.234983
588626.077438 2330228.950470 10.956693
587249.822409 2328818.007790 10.762532
587593.886178 2329170.743460 6.328027
587723.353299 2329635.326090 7.876386
587995.884852 2330025.344100 -0.862673
587367.152501 2329479.140890 8.927718
586672.863051 2328874.944160 13.409611
588540.947947 2330805.380100 13.953053
588268.416381 2330415.362100 4.162294
587917.552205 2330394.034560 -4.210223
586984.210526 2329196.683470 10.887800
587490.551120 2330041.998760 8.479811
587140.418848 2329787.538320 2.134502
588188.985876 2331133.751960 14.244339
586440.154304 2329278.617440 13.893493
587839.219558 2330762.725030 8.594396
587489.453239 2330391.698140 6.125778
586789.920600 2329649.644340 11.060571
587066.738709 2330166.667990 1.491114
587845.894488 2331113.043140 0.910596
587852.248818 2331446.534490 15.497173
586107.522883 2329595.152450 12.979795
586403.467575 2329909.188410 10.592751
587390.635402 2330737.842820 3.716533
586994.827034 2330536.698000 1.904208
586699.412279 2330223.224380 9.506253
587458.916269 2331335.842710 -2.622812
587922.477795 2331809.774940 12.804250
587567.492444 2331828.192430 8.464949
586289.856033 2330273.234830 10.544955
585803.952323 2329946.588950 13.336215
586977.386878 2330940.103820 2.440623
586176.244490 2330637.281240 10.391085
586609.931548 2330846.685620 6.758491
587198.037956 2331635.714500 -2.056350
586959.946748 2331343.509640 0.502367
587321.038286 2331930.816440 2.538528
588161.788868 2332036.377420 12.887136
587937.640757 2332190.396860 9.873917
587444.038641 2332225.918380 8.691495
585731.943400 2330422.751920 12.293522
585809.166203 2330871.569460 11.558316
586503.519366 2331290.810720 4.297250
586035.077966 2331236.724680 7.765104
586872.047167 2331717.175290 -1.882629
587078.546335 2332133.771820 4.754582
588237.429037 2332400.373010 12.503884
587698.995814 2332412.892660 9.762525
587953.952987 2332599.866940 9.214400
587309.710627 2332658.677390 8.129144
586495.880262 2331684.014660 1.315224
585376.024838 2330749.674690 14.125722
585559.775678 2331181.846460 11.386598
586105.744867 2331649.622680 3.765552
585701.129097 2331613.954170 5.961163
586704.186491 2332039.389650 -2.475522
586917.716462 2332520.317620 9.308981
588364.683561 2332763.835530 9.216832
587573.031217 2332855.750240 10.044232
587971.519702 2333040.827790 9.449268
587163.055387 2333131.150550 9.997667
586749.367390 2332938.951200 9.917464
586219.678416 2332102.988020 -0.514306
585077.084709 2331126.115160 14.734387
585281.556610 2331576.967190 10.049826
585901.530484 2332017.060430 0.565954
585583.382552 2331931.132870 5.471937
586525.722322 2332381.957850 -1.634535
588284.641918 2333167.270860 14.592831
587990.431367 2333515.549260 14.633701
587576.743359 2333323.349910 9.881832
587274.424856 2333521.179570 10.290268
586883.851984 2333492.593230 10.627453
586538.685552 2333393.624040 10.406911
586335.679418 2332746.751840 -0.149109
586193.519144 2333294.654870 10.625689
585921.991421 2332554.552490 4.186909
584846.582930 2331538.622530 12.689103
585140.451727 2331954.113210 5.708256
585508.303449 2332362.353130 -1.034941
587817.426385 2333955.500010 10.621192
587385.794349 2333911.208620 9.268231
